"number","fleet","headway.min","planned.buses","headway","ewt.v","simulation.fitness","ewt.a","headway.max","buses","headway.observed","hcv","line"
239,50,180,43,319.164842248764,2389.96272453132,-238.381501186259,59.0701459277332,1200,1,328.80223466653,0.643764540652636,"T31s"
240,50,180,43,319.164842248764,2368.62186271361,-236.247900504564,58.4063972257724,1200,1,329.013239697866,0.649590831027248,"T31s"
241,50,180,43,319.164842248764,2506.10368554284,-250.131864542184,63.3841583718872,1200,15,330.865628125632,0.668437430447207,"T31s"
242,50,180,43,319.164842248764,2210.6211985754,-220.593473350537,60.801649193944,1200,17,331.364204337299,0.66260968621542,"T31s"
243,50,180,43,409.890707620146,4073.01016997839,-406.887152076058,72.732422735129,1200,17,423.951180590623,0.626027021225253,"T31s"
244,50,180,43,319.164842248764,2396.78425732099,-239.114880564869,63.7541036008833,1200,5,328.684578636676,0.657725617151493,"T31s"
245,50,180,43,409.890707620146,2644.3111825191,-263.91942279319,67.9459328063029,1200,5,422.623306961215,0.609669183382444,"T31s"
246,50,180,43,610.231485099641,2592.405463868,-258.93526201589,71.0783603237757,1200,17,627.929407506349,0.517474148279056,"T31s"
247,50,180,43,409.890707620146,2711.07518522197,-270.544880313076,64.2528245982197,1200,1,423.769336641525,0.58918951099122,"T31s"
248,50,180,43,409.890707620146,3531.09079116731,-352.697472207413,74.0494051860678,1200,17,425.468490995807,0.635291849018263,"T31s"
249,50,180,43,409.890707620146,3619.97731067044,-361.442215180404,73.1501563859122,1200,1,423.978132332581,0.629526753229295,"T31s"
250,50,180,43,319.164842248764,3609.27093002895,-360.320659558236,70.3375848157186,1200,1,329.162388896511,0.687466078876723,"T31s"
251,50,180,43,409.890707620146,1594.91207309251,-159.067797175102,59.8532944022347,1200,17,422.202187872938,0.583793517782862,"T31s"
252,50,180,43,610.231485099641,4926.87521289055,-492.392674371135,87.6266374422481,1200,17,631.260343112244,0.547094015586644,"T31s"
253,50,180,43,319.164842248764,2585.08705620029,-257.940126607946,57.8486822860439,1200,5,328.82525503893,0.626244398082801,"T31s"
254,50,180,43,319.164842248764,7098.12681022988,-709.344298113387,67.8336389930049,1200,17,329.522386395736,0.652639917431992,"T31s"
255,50,180,43,319.164842248764,2281.99058545164,-227.725692508379,57.545515271224,1200,17,329.622368993741,0.636514258394554,"T31s"
256,50,180,43,409.890707620146,3669.91274336306,-366.576646440679,73.1455716768148,1200,17,424.626185940009,0.613049499925639,"T31s"
257,50,180,43,610.231485099641,2806.39502291084,-280.336434027148,73.2569235954824,1200,17,628.935923340377,0.526452659058746,"T31s"
258,50,180,43,409.890707620146,3375.21629980466,-337.107478188625,72.8128864172283,1200,17,426.262282281312,0.609295392524337,"T31s"
259,50,180,43,409.890707620146,2969.1051703832,-296.491943522402,66.9119152915976,1200,17,421.849975067869,0.610702803825514,"T31s"
260,50,180,43,319.164842248764,3403.5258486325,-339.74442686777,66.3080888699116,1200,1,330.677137637984,0.674741937101365,"T31s"
261,50,180,43,409.890707620146,2436.98504000809,-243.140546085433,67.768223197757,1200,1,424.069533965389,0.622508586503458,"T31s"
262,50,180,43,409.890707620146,3297.16274719389,-329.301726224938,72.6655360896144,1200,17,423.028111267677,0.624844069547705,"T31s"
263,50,180,43,409.890707620146,4374.87677020072,-437.073389760764,72.4988949372964,1200,17,423.03186198729,0.627989828434383,"T31s"
264,50,180,43,610.231485099641,3876.98243594236,-387.404462610328,84.9248238062543,1200,17,631.193343203279,0.567153518275671,"T31s"
265,50,180,43,409.890707620146,3079.37808536802,-307.517870571068,63.3170594413074,1200,17,424.571100505544,0.593034538274667,"T31s"
266,50,180,43,610.231485099641,2783.26693262097,-278.023925816863,76.0813368515984,1200,17,630.294403024729,0.51205507826282,"T31s"
267,50,180,43,409.890707620146,5422.50463621499,-541.84083045257,81.4031443177094,1200,17,422.3064595243,0.649116974278561,"T31s"
268,50,180,43,409.890707620146,2745.80267199624,-274.021558457908,68.1975134023319,1200,1,423.857902805477,0.614814244928949,"T31s"
269,50,180,43,409.890707620146,3796.07823922698,-379.191130094799,67.5764963679774,1200,17,424.551024054328,0.611395890312802,"T31s"
270,50,180,43,610.231485099641,3518.03946847393,-351.503331260184,78.6632156250087,1200,17,632.646077810395,0.511134014838253,"T31s"
271,50,180,43,409.890707620146,1975.21701727824,-197.1016052384,60.814889386104,1200,17,425.134576238755,0.596475305089025,"T31s"
272,50,180,43,931.031559725274,4209.28144835377,-420.825014027338,98.5780106736633,1200,17,967.108207527641,0.452174863931141,"T31s"
273,50,180,43,319.164842248764,2580.96303505642,-257.625602228269,61.6661156957858,1200,17,329.32257519195,0.651190010723823,"T31s"
274,50,180,43,409.890707620146,3465.29910169735,-346.019748211211,68.9848574011353,1200,5,422.700580090532,0.621086555536526,"T31s"
275,50,180,43,409.890707620146,2572.01767891553,-256.785699187656,68.3234744648191,1200,17,423.615165887052,0.620662251379146,"T31s"
