generation,fitness
750,-1768.855959427176
751,-1768.855959427176
752,-2270.990365297707
753,-2113.283798024318
754,-2270.990365297707
755,-2043.1110802646385
756,-2043.1110802646385
757,-1705.8319657328414
758,-1705.8319657328414
759,-1705.8319657328414
760,-1705.8319657328414
761,-1584.0948841285638
762,-1915.9853143112857
763,-1915.9853143112857
764,-1915.9853143112857
765,-1915.9853143112857
766,-1915.9853143112857
767,-1915.9853143112857
768,-1379.1631581298452
769,-1379.1631581298452
770,-1280.0213489274277
771,-1379.1631581298452
772,-1379.1631581298452
773,-1848.9711170371556
774,-1848.9711170371556
775,-1848.9711170371556
776,-1848.9711170371556
777,-1848.9711170371556
778,-1848.9711170371556
779,-1848.9711170371556
780,-1576.448247367933
781,-1623.4657794114478
782,-1564.123717604245
783,-1623.4657794114478
784,-1623.4657794114478
785,-1623.4657794114478
786,-1623.4657794114478
787,-1623.4657794114478
788,-1623.4657794114478
789,-2226.411862669183
790,-2119.861246035799
791,-2119.861246035799
792,-1135.7519354210597
793,-1135.7519354210597
794,-1135.7519354210597
795,-1135.7519354210597
796,-1135.7519354210597
797,-1135.7519354210597
798,-1135.7519354210597
799,-1135.7519354210597
800,-1135.7519354210597
801,-1135.7519354210597
802,-1135.7519354210597
803,-1135.7519354210597
804,-1381.583393260566
805,-1900.6200235597826
806,-1900.6200235597826
807,-1983.3351062669924
808,-1512.2807400124007
809,-1158.1256363664625
810,-1158.1256363664625
811,-1158.1256363664625
812,-1158.1256363664625
813,-1780.6319386923124
814,-2058.1338539385633
815,-1890.4794689941957
816,-1681.5472212097432
817,-1681.5472212097432
818,-1681.5472212097432
819,-1182.855641305298
820,-1834.4351824219837
821,-1446.407479809493
822,-1446.407479809493
823,-1446.407479809493
824,-1446.407479809493
825,-1543.8137511664247
826,-1424.3267016430482
