fleet,headway.min,replica,line,planned.buses,headway,ewt.v,simulation.fitness,number,ewt.a,headway.max,buses,headway.observed,hcv
50.0,180.0,8,T31s,43.0,1111.1080538613996,1691.960014556022,-169.2269710842499,16,86.3798955106873,1200.0,33.0,1150.6968352643003,0.336936935330737
50.0,180.0,9,T31s,43.0,1111.1080538613996,6689.772251597025,-669.0342956403424,16,120.71696532747623,1200.0,33.0,1151.2080957710707,0.4804811411171989
50.0,180.0,10,T31s,43.0,1111.1080538613996,7962.970154742359,-796.3467926852107,16,130.50001560872846,1200.0,33.0,1128.0510479868847,0.5111562050048976
50.0,180.0,1,T31s,43.0,991.0389313303019,3664.0547430256215,-366.35597530009323,17,93.5418938466446,1200.0,28.0,1003.2076079052804,0.43570415399321505
50.0,180.0,2,T31s,43.0,991.0389313303019,4807.531347770459,-480.72393890702483,17,111.28778826058897,1200.0,28.0,1012.702291691306,0.5237314159975969
50.0,180.0,3,T31s,43.0,991.0389313303019,3373.4446364106116,-337.31292387221424,17,100.45712671501269,1200.0,28.0,1012.7377338956607,0.5361861493364778
50.0,180.0,4,T31s,43.0,991.0389313303019,8172.140799994926,-817.1942345397928,17,122.72611175172798,1200.0,28.0,1013.0364807195964,0.5771419564248426
50.0,180.0,5,T31s,43.0,991.0389313303019,62464.60562603483,-6246.457810955912,17,204.64126518944084,1200.0,28.0,1000.6024717304373,0.5481707956044605
50.0,180.0,6,T31s,43.0,991.0389313303019,11450.721511872816,-1145.0703169485255,17,127.61830538928342,1200.0,28.0,1043.7918271768665,0.5600330510475395
50.0,180.0,7,T31s,43.0,991.0389313303019,2188.2124216761804,-218.7899007707544,17,98.80261354925378,1200.0,28.0,1024.00126399929,0.4774288536218734
50.0,180.0,8,T31s,43.0,991.0389313303019,2978.8838201473136,-297.87098683532025,17,97.73910026721568,1200.0,28.0,1051.8930135030582,0.4563669576929228
50.0,180.0,9,T31s,43.0,991.0389313303019,2271.0209802996396,-227.07221768571887,17,92.2589620606815,1200.0,28.0,1040.4586723569769,0.41704326697912114
